Date,Close/Last,Volume,Open,High,Low
09/01/2014,4580.27,--,0.00,0.00,0.00
08/29/2014,4580.27,--,4571.76,4580.27,4553.78
08/28/2014,4557.69,--,4552.55,4565.96,4546.62
08/27/2014,4569.62,--,4574.35,4575.81,4561.83
08/26/2014,4570.64,--,4563.81,4575.59,4556.78
08/25/2014,4557.35,--,4563.72,4571.14,4547.78
08/22/2014,4538.55,--,4534.87,4547.24,4521.77
08/21/2014,4532.10,--,4526.72,4534.00,4513.81
08/20/2014,4526.48,--,4517.75,4533.01,4515.73
08/19/2014,4527.51,--,4514.25,4528.91,4513.92
08/18/2014,4508.31,--,4490.53,4509.16,4486.44
08/15/2014,4464.93,--,4479.64,4482.47,4427.13
08/14/2014,4453.00,--,4438.13,4453.00,4433.94
08/13/2014,4434.13,--,4407.87,4434.31,4403.64
08/12/2014,4389.25,--,4394.69,4407.08,4371.84
08/11/2014,4401.33,--,4387.38,4415.78,4384.15
08/08/2014,4370.90,--,4340.88,4373.12,4327.87
08/07/2014,4334.97,--,4373.24,4379.70,4321.89
08/06/2014,4355.05,--,4326.28,4378.99,4325.04
08/05/2014,4352.84,--,4364.59,4383.02,4333.58
08/04/2014,4383.89,--,4365.62,4395.38,4343.03
08/01/2014,4352.64,--,4363.39,4385.05,4324.02
07/31/2014,4369.77,--,4421.29,4430.80,4367.15
07/30/2014,4462.90,--,4468.44,4476.06,4444.51
07/29/2014,4442.70,--,4456.07,4470.97,4441.03
07/28/2014,4444.91,--,4451.12,4455.39,4413.91
07/25/2014,4449.56,--,4448.06,4457.95,4430.43
07/24/2014,4472.11,--,4481.61,4485.50,4465.93
07/23/2014,4473.70,--,4468.16,4480.73,4457.94
07/22/2014,4456.02,--,4444.94,4464.13,4443.35
07/21/2014,4424.70,--,4421.20,4432.42,4404.51
07/18/2014,4432.15,--,4379.94,4434.43,4378.22
07/17/2014,4363.45,--,4411.52,4425.38,4352.24
07/16/2014,4425.97,--,4446.17,4448.87,4419.71
07/15/2014,4416.39,--,4444.91,4451.92,4389.70
07/14/2014,4440.42,--,4441.39,4451.60,4432.95
07/11/2014,4415.49,--,4401.05,4417.16,4389.29
07/10/2014,4396.20,--,4352.03,4415.85,4351.04
07/09/2014,4419.03,--,4403.03,4421.93,4388.01
07/08/2014,4391.46,--,4442.87,4443.56,4372.04
07/07/2014,4451.53,--,4477.74,4478.02,4447.60
07/04/2014,4485.93,--,0.00,0.00,0.00
07/03/2014,4485.93,--,4472.89,4485.93,4463.85
07/02/2014,4457.73,--,4457.86,4466.92,4450.87
07/01/2014,4458.65,--,4424.71,4471.59,4424.43
06/30/2014,4408.18,--,4398.37,4417.46,4396.59
06/27/2014,4397.93,--,4371.80,4398.85,4371.60
06/26/2014,4379.05,--,4379.44,4379.80,4347.45
06/25/2014,4379.76,--,4341.82,4383.55,4339.41
06/24/2014,4350.36,--,4367.90,4399.87,4342.90
06/23/2014,4368.68,--,4368.96,4371.81,4358.68
06/20/2014,4368.04,--,4365.37,4368.80,4354.03
06/19/2014,4359.33,--,4370.14,4372.18,4339.61
06/18/2014,4362.84,--,4341.18,4365.10,4320.54
